Municipality,Gouvernerat,Population
دار شعبان الفهري,ولاية نابل,42140
منوبة,ولاية منوبة,41670
الحامة,ولاية قابس,41607
قرمدة,ولاية صفاقس,40858
بومهل البساتين,ولاية بن عروس,40101
منزل تميم,ولاية نابل,39138
قربة,ولاية نابل,38902
المتلوي,ولاية قفصة,38129
سليمان,ولاية نابل,37749
طبلبة,ولاية المنستير,37485
توزر,ولاية توزر,37365
الزهراء,ولاية بن عروس,34962
القلعة الصغرى,ولاية سوسة,34548
ماطر,ولاية بنزرت,34010
القصر,ولاية قفصة,33729
طينة,ولاية صفاقس,33419
حمام الشط,ولاية بن عروس,31810
سليانة,ولاية سليانة,31251
دوز,ولاية قبلي,30245
مرناق,ولاية بن عروس,30058
فريانة,ولاية القصرين,29572
قصور الساف,ولاية المهدية,28842
الجديدة,ولاية منوبة,28660
رأس الجبل,ولاية بنزرت,28610
غنوش,ولاية قابس,28051
طبربة,ولاية منوبة,27545
أكودة,ولاية سوسة,27200
مقرين,ولاية بن عروس,26924
الشيحية,ولاية صفاقس,26300
الرديف,ولاية قفصة,25046
سبيطلة,ولاية القصرين,24597
قرمبالية,ولاية نابل,24299
أجيم,ولاية مدنين,24294
الفحص,ولاية زغوان,23556
مجاز الباب,ولاية باجة,22287
منزل جميل,ولاية بنزرت,22238
الشابة,ولاية المهدية,22227
تاكلسة,ولاية نابل,22151
الوردانين,ولاية المنستير,21814
نفطة,ولاية توزر,21654
بوسالم,ولاية جندوبة,21638
بني خيار,ولاية نابل,21626
أم العرائس,ولاية قفصة,21431
الجمّ,ولاية المهدية,21234
تينجة,ولاية بنزرت,21139
زغوان,ولاية زغوان,20798
زاوية سوسة,ولاية سوسة,20681
ڨبلي,ولاية قبلي,20623
مرناقية,ولاية منوبة,19834
طبرقة,ولاية جندوبة,19770
غار الدماء,ولاية جندوبة,19495
منزل عبد الرحمان,ولاية بنزرت,19078
الساحلين,ولاية المنستير,19013
سوق الأحد,ولاية قبلي,18905
منزل بوزلفة,ولاية نابل,18551
العالية,ولاية بنزرت,18359
تالة,ولاية القصرين,18230
قلعة الأندلس,ولاية أريانة,18211
البقالطة,ولاية المنستير,17850
تاجروين,ولاية الكاف,17530
الزهور,ولاية سوسة,17348
الدندان,ولاية منوبة,17122
قرطاج,ولاية تونس,17010
زرمدين,ولاية المنستير,16806
بنبلة,ولاية المنستير,16078
المحرس,ولاية صفاقس,15878
قرقنة,ولاية صفاقس,15501
بني خلاد,ولاية نابل,15463
شننّي-النحال,ولاية قابس,14803
المكناسي,ولاية سيدي بوزيد,14773
بنان-بوضر,ولاية المنستير,14218
القطار,ولاية قفصة,14088
مكثر,ولاية سليانة,13542
تستور,ولاية باجة,13331
بوعرادة,ولاية سليانة,13162
قصيبة المديوني,ولاية المنستير,13122
الدهماني,ولاية الكاف,12964
صيادة,ولاية المنستير,12962
منزل الحياة,ولاية المنستير,12927
المسعدين,ولاية سوسة,12916
المظيلة,ولاية قفصة,12814
سرس,ولاية الكاف,12108
بوعرقوب,ولاية نابل,11990
الصخيرة,ولاية صفاقس,11912
تبرسق,ولاية باجة,11865
الزريبة,ولاية زغوان,11819
